,state,district,category,type,date,crimes
353,Johor,Johor Bahru Utara,property,theft_other,2017,282
354,Johor,Johor Bahru Utara,property,theft_other,2018,300
355,Johor,Johor Bahru Utara,property,theft_other,2019,269
356,Johor,Johor Bahru Utara,property,theft_other,2020,175
357,Johor,Johor Bahru Utara,property,theft_other,2021,86
358,Johor,Johor Bahru Utara,property,theft_other,2022,51
359,Johor,Johor Bahru Utara,property,theft_other,2023,87
360,Johor,Johor Bahru Utara,property,theft_vehicle_lorry,2016,65
361,Johor,Johor Bahru Utara,property,theft_vehicle_lorry,2017,42
362,Johor,Johor Bahru Utara,property,theft_vehicle_lorry,2018,36
363,Johor,Johor Bahru Utara,property,theft_vehicle_lorry,2019,40
364,Johor,Johor Bahru Utara,property,theft_vehicle_lorry,2020,25
365,Johor,Johor Bahru Utara,property,theft_vehicle_lorry,2021,8
366,Johor,Johor Bahru Utara,property,theft_vehicle_lorry,2022,15
367,Johor,Johor Bahru Utara,property,theft_vehicle_lorry,2023,8
368,Johor,Johor Bahru Utara,property,theft_vehicle_motorcar,2016,221
369,Johor,Johor Bahru Utara,property,theft_vehicle_motorcar,2017,174
370,Johor,Johor Bahru Utara,property,theft_vehicle_motorcar,2018,160
371,Johor,Johor Bahru Utara,property,theft_vehicle_motorcar,2019,169
372,Johor,Johor Bahru Utara,property,theft_vehicle_motorcar,2020,125
373,Johor,Johor Bahru Utara,property,theft_vehicle_motorcar,2021,77
374,Johor,Johor Bahru Utara,property,theft_vehicle_motorcar,2022,74
375,Johor,Johor Bahru Utara,property,theft_vehicle_motorcar,2023,65
376,Johor,Johor Bahru Utara,property,theft_vehicle_motorcycle,2016,635
377,Johor,Johor Bahru Utara,property,theft_vehicle_motorcycle,2017,510
378,Johor,Johor Bahru Utara,property,theft_vehicle_motorcycle,2018,572
379,Johor,Johor Bahru Utara,property,theft_vehicle_motorcycle,2019,433
380,Johor,Johor Bahru Utara,property,theft_vehicle_motorcycle,2020,286
381,Johor,Johor Bahru Utara,property,theft_vehicle_motorcycle,2021,123
382,Johor,Johor Bahru Utara,property,theft_vehicle_motorcycle,2022,161
383,Johor,Johor Bahru Utara,property,theft_vehicle_motorcycle,2023,174
384,Johor,Kluang,assault,causing_injury,2016,58
385,Johor,Kluang,assault,causing_injury,2017,45
386,Johor,Kluang,assault,causing_injury,2018,57
387,Johor,Kluang,assault,causing_injury,2019,60
388,Johor,Kluang,assault,causing_injury,2020,43
389,Johor,Kluang,assault,causing_injury,2021,39
390,Johor,Kluang,assault,causing_injury,2022,29
391,Johor,Kluang,assault,causing_injury,2023,21
392,Johor,Kluang,assault,murder,2016,4
393,Johor,Kluang,assault,murder,2017,1
394,Johor,Kluang,assault,murder,2018,1
395,Johor,Kluang,assault,murder,2019,4
396,Johor,Kluang,assault,murder,2020,2
397,Johor,Kluang,assault,murder,2021,3
398,Johor,Kluang,assault,murder,2022,1
399,Johor,Kluang,assault,murder,2023,4
400,Johor,Kluang,assault,rape,2016,37
401,Johor,Kluang,assault,rape,2017,24
402,Johor,Kluang,assault,rape,2018,18
403,Johor,Kluang,assault,rape,2019,17
404,Johor,Kluang,assault,rape,2020,16
405,Johor,Kluang,assault,rape,2021,12
406,Johor,Kluang,assault,rape,2022,9
407,Johor,Kluang,assault,rape,2023,14
408,Johor,Kluang,assault,robbery_gang_armed,2016,2
409,Johor,Kluang,assault,robbery_gang_armed,2017,0
410,Johor,Kluang,assault,robbery_gang_armed,2018,0
411,Johor,Kluang,assault,robbery_gang_armed,2019,0
412,Johor,Kluang,assault,robbery_gang_armed,2020,0
413,Johor,Kluang,assault,robbery_gang_armed,2021,0
414,Johor,Kluang,assault,robbery_gang_armed,2022,0
415,Johor,Kluang,assault,robbery_gang_armed,2023,0
416,Johor,Kluang,assault,robbery_gang_unarmed,2016,47
417,Johor,Kluang,assault,robbery_gang_unarmed,2017,32
418,Johor,Kluang,assault,robbery_gang_unarmed,2018,34
419,Johor,Kluang,assault,robbery_gang_unarmed,2019,35
420,Johor,Kluang,assault,robbery_gang_unarmed,2020,14
421,Johor,Kluang,assault,robbery_gang_unarmed,2021,15
422,Johor,Kluang,assault,robbery_gang_unarmed,2022,16
423,Johor,Kluang,assault,robbery_gang_unarmed,2023,27
424,Johor,Kluang,assault,robbery_solo_armed,2016,0
425,Johor,Kluang,assault,robbery_solo_armed,2017,0
426,Johor,Kluang,assault,robbery_solo_armed,2018,0
427,Johor,Kluang,assault,robbery_solo_armed,2019,0
428,Johor,Kluang,assault,robbery_solo_armed,2020,0
429,Johor,Kluang,assault,robbery_solo_armed,2021,0
430,Johor,Kluang,assault,robbery_solo_armed,2022,0
431,Johor,Kluang,assault,robbery_solo_armed,2023,0
432,Johor,Kluang,assault,robbery_solo_unarmed,2016,8
433,Johor,Kluang,assault,robbery_solo_unarmed,2017,15
434,Johor,Kluang,assault,robbery_solo_unarmed,2018,15
435,Johor,Kluang,assault,robbery_solo_unarmed,2019,11
436,Johor,Kluang,assault,robbery_solo_unarmed,2020,38
